Code,n,perc_freq,Frequency,Plant,Plot,Sites,Type
ATCO,460,13.172966781214205,0.13172966781214204,Native recruit,Total,NA,"Native recruit, Total"
SPSP.BarTBar,370,10.595647193585338,0.10595647193585338,Native recruit,Total,NA,"Native recruit, Total"
HESP.BabbittPJ,315,9.02061855670103,0.09020618556701031,Native recruit,Total,NA,"Native recruit, Total"
SOEL,253,7.245131729667813,0.07245131729667813,Native recruit,Total,NA,"Native recruit, Total"
CHAL11,215,6.156930126002291,0.06156930126002291,Native recruit,Total,NA,"Native recruit, Total"
SCMU6,151,4.324169530355097,0.04324169530355097,Native recruit,Total,NA,"Native recruit, Total"
CHEN.BabbittPJ,142,4.0664375715922105,0.0406643757159221,Native recruit,Total,NA,"Native recruit, Total"
LEPA6,137,3.9232531500572736,0.03923253150057274,Native recruit,Total,NA,"Native recruit, Total"
SAAB,133,3.8087056128293244,0.038087056128293245,Native recruit,Total,NA,"Native recruit, Total"
SPSP.TLE,105,3.006872852233677,0.03006872852233677,Native recruit,Total,NA,"Native recruit, Total"
CHCO2,83,2.376861397479954,0.02376861397479954,Native recruit,Total,NA,"Native recruit, Total"
SPAI,82,2.348224513172967,0.023482245131729668,Native recruit,Total,NA,"Native recruit, Total"
HECI,78,2.2336769759450172,0.022336769759450172,Native recruit,Total,NA,"Native recruit, Total"
DAPU7,75,2.147766323024055,0.02147766323024055,Native recruit,Total,NA,"Native recruit, Total"
UNGR3.AguaFria,56,1.6036655211912942,0.016036655211912942,Native recruit,Total,NA,"Native recruit, Total"
PHNE3,36,1.0309278350515463,0.010309278350515462,Native recruit,Total,NA,"Native recruit, Total"
HESP.BabbittPJ,313,14.253187613843352,0.14253187613843352,Native recruit,Wetter,NA,"Native recruit, Wetter"
SPSP.BarTBar,300,13.661202185792352,0.1366120218579235,Native recruit,Wetter,NA,"Native recruit, Wetter"
ATCO,281,12.7959927140255,0.127959927140255,Native recruit,Wetter,NA,"Native recruit, Wetter"
CHAL11,207,9.426229508196721,0.0942622950819672,Native recruit,Wetter,NA,"Native recruit, Wetter"
SCMU6,151,6.876138433515483,0.06876138433515483,Native recruit,Wetter,NA,"Native recruit, Wetter"
LEPA6,137,6.238615664845173,0.06238615664845173,Native recruit,Wetter,NA,"Native recruit, Wetter"
SAAB,133,6.056466302367942,0.06056466302367942,Native recruit,Wetter,NA,"Native recruit, Wetter"
SOEL,121,5.510018214936248,0.05510018214936248,Native recruit,Wetter,NA,"Native recruit, Wetter"
CHCO2,69,3.1420765027322406,0.031420765027322405,Native recruit,Wetter,NA,"Native recruit, Wetter"
CHEN.BabbittPJ,68,3.096539162112933,0.030965391621129327,Native recruit,Wetter,NA,"Native recruit, Wetter"
UNGR3.AguaFria,56,2.5500910746812386,0.025500910746812388,Native recruit,Wetter,NA,"Native recruit, Wetter"
DAPU7,35,1.5938069216757742,0.015938069216757743,Native recruit,Wetter,NA,"Native recruit, Wetter"
SPAI,28,1.2750455373406193,0.012750455373406194,Native recruit,Wetter,NA,"Native recruit, Wetter"
