CodeOriginal,Name,Lifeform
AMDU2,Ambrosia dumosa,NA
ARNE2,Argythamnia neomexicana,NA
BOBAB3,Bouteloua barbata v. barbata,NA
BRDI3,Bromus diandrus,NA
CACLL,Camissonia claviformis,NA
CAEXE,Castilleja exserta,NA
CEME2,Centaurea melitensis,NA
COAU2,Corydalis aurea,NA
COEQ,Convolvulus equitans,NA
ENDE,Enneapogon desvauxii,NA
ERCI,Eragrostis cilianensis,NA
ERCI,Eragrostis ciliaris,NA
ERTR8,Eriogonum trichopes,NA
ERVE5,Eruca vesicaria,NA
ESCAM,Eschscholzia californica,NA
EUME3,Chamaesyce melanadenia,NA
GNPA,Gnaphalium palustre,NA
IPLO2,Ipomopsis longiflora,NA
MAAF,Malcolmia africana,NA
MILA6,Mirabilis laevis,NA
MUPO2,Muhlenbergia porteri,NA
NAHI,Nama hispidum,NA
PAMI5,Parkinsonia microphylla,NA
PHYSA,Physalis,NA
PLMU3,Pleuraphis mutica,NA
PRVE,Prosopis velutina,NA
PSSP6,Pseudoroegneria spicata,NA
SEBA3,Senna bauhinioides,NA
SIAL,Sisymbrium altissimum,NA
SPAI,Sporobolus airoides,NA
URLI5,Microseris lindleyi,NA
YUEL,Yucca elata,NA
