CodeOriginal,Name,Lifeform
AMDU2,Ambrosia dumosa,Shrub
ARNE2,Argythamnia neomexicana,Forb
BOBAB3,Bouteloua barbata v. barbata,Grass
BRDI3,Bromus diandrus,Grass
CACLL,Camissonia claviformis,Forb
CAEXE,Castilleja exserta,Forb
CEME2,Centaurea melitensis,Forb
COAU2,Corydalis aurea,Forb
COEQ,Convolvulus equitans,Forb
DRCU,Draba cuneifolia,Forb
ENDE,Enneapogon desvauxii,Grass
ERCI,Eragrostis cilianensis,Grass
ERCI,Eragrostis ciliaris,Grass
ERTR8,Eriogonum trichopes,Forb
ERVE5,Eruca vesicaria,Forb
ESCAM,Eschscholzia californica,Forb
EUME3,Chamaesyce melanadenia,Forb
GILSPP2,Very similar to GIsp 1 but slightly more serated leaves and flowers are purple/pink instead of blueish/white,Forb
GNPA,Gnaphalium palustre,Forb
IPLO2,Ipomopsis longiflora,Forb
LEPISP,Lepidium sp.,Forb
MAAF,Malcolmia africana,Forb
MILA6,Mirabilis laevis,Forb
MUPO2,Muhlenbergia porteri,Grass
NAHI,Nama hispidum,Forb
PAMI5,Parkinsonia microphylla,Shrub
PHYSA,Physalis,Forb
PHYSR,Physaria sp.,Forb
PLMU3,Pleuraphis mutica,Grass
PRVE,Prosopis velutina,Shrub
PSSP6,Pseudoroegneria spicata,Grass
SEBA3,Senna bauhinioides,Forb
SIAL,Sisymbrium altissimum,Forb
SISYM,Sisymbrium sp.,Forb
SPAI,Sporobolus airoides,Grass
URLI5,Microseris lindleyi,Forb
YUEL,Yucca elata,Shrub
